Vendor Address,Wallet Count
13Mk8XBqSQsXwQHsmap5PoJwCr18kCSuwu,8
1KDwc63mDyWWRf8HjuhbeFjeQDcT6HaAGy,7
1HQDHCDkB7oPXzQDBaesy8hhBx4YnidofR,5
19oj1gZCa1TApHwTQ5LL9cBpM5nw46tX2d,5
1BHHjNBUMS1pzMbLxnjr7qygk4VuuobkcY,7
32e7CrDRaiExkFgU5CVxpogCNEj4bKg4QR,9
1KSYvfsZ4FJu5UMRqmjUDT7GKvw3w2NarC,8
15Cq4RaN78ZybWdWHHiBJqbdDH7crdZKBD,6
17D6ZRvBAsQf2zTZPYQ745PLti89TYURhc,16
1QFtpfC7WmCa6w3D96RJUWXhrFrdpo3ZnS,5
12kZjPdr1o1AxgSqjudPCjsHeKy5vCRHxe,7
1L5DHGxYCu2HC4QNt9nA88uf4JRYL53w39,6
1Bkn7aYEcjBB6hqwUh58SvXtBZY91BK5EQ,5
114NuRKtLYMv2DEQJvi48wRSvBA3U4CFj1,6
1NrHFw11yfwJmpsnxt5bFgVbCDEzqZBq3b,5
17Zy9p5xnN7gfrxTCrnLGaLaB2cR9tNnqy,6
18tzsHSoupukjEXvXdN2LFN6Mw5mwFADUt,6
126n12RgqQp6XjeGLqBoFc77eaaVGKEcma,5
12USpMQt9CBDayRgsmvjDcgxGNP1Wzbyx7,9
1D8VYVqYEPViUoidtTVJ3KVT6oxv6YFU9Q,5
3QtxbBQNFtfWQnyk4wBvD7yWJbdkmebwR6,6
19K7oDhwKhxXuzQ8xakNf5Y7PytzhSUT64,5
1HA5cK2vLNFiZ1tHCJQuB98iUcnY3Hof4U,6
1K4iGzLdLFC6WCHGPaLPMYyS1D4A7Cr1Jw,5
19LkhG5mYnpCeSWhXSweamiyt8dqFUgfDe,7
1PCdS73v4kqi2TcE6UApb79aGayMAp3Mkb,5
13SzT4uUGC4TyvtpcyGPbMBW99RFnxhp8o,18
1Ez3zy3Q4RedA1T4PySwEEAFY9BYXLj9Si,6
1AoKXxCVpnqv8gYry3Ay6wN8KbJ28XpvpU,8
14V8seRCk9xWKfdHek4XRK8HvQBUYRJMi7,6
12iSRRy1LEx9hPcQHCBgsyaLhpTuQNqFXN,6
168XpyaoaYoTEMMDR8utwtjqQofaFkJvMD,5
1LQtYNzVbhkYrB4Pc4M55nBJ3rUM6m9e53,7
1NT53F5uMctfAXJHTJ2B6H5VVDdr4Cf7Zg,5
1Fi67mnXVtYg1P7FJ6QYPu8KHz72XfXfwy,5
